25-100,100-200,200-400,Mixture Porogen volume %,"Porosité ouverte","Porosité fermée","Porosité totale",Fractured,Permeable
0,31,0,31,18.3757661480434,8.07766240990432,26.4534285579477,0,0
0,37.5,0,37.5,24.0950226244344,8.24888750429849,32.3439101287329,0,0
0,39.71,0,39.71,23.5796509468994,9.11009689151584,32.6897478384152,0,0
0,60,0,60,45.9918616480163,5.36086844809213,51.3527300961084,0,1
0,60,0,60,47.4956822107081,4.75292908801109,52.2486112987192,0,1
0,60,0,60,49.6032553407935,3.74853808958464,53.3517934303781,0,1
0,70,0,70,,,,1,
0,0,39.71,39.71,27.1101921673559,9.40859737103504,36.5187895383909,0,0
25,25,0,50,10.4033970276009,30.4980443341071,40.9014413617079,0,
25,25,0,50,11.5911485774499,30.4399320446879,42.0310806221378,0,
30,30,0,60,43.820110136651,5.77465253814649,49.5947626747975,0,1
30,30,0,60,45.4962766500051,5.30878445839522,50.8050611084003,0,1
30,30,0,60,47.7242643315345,3.80309159232426,51.5273559238588,0,1
32.5,32.5,0,65,,,,1,
0,32.25,10.75,43,25.0263496896592,14.0482531161043,39.0746028057636,0,0
22.6914285714286,11.3457142857143,5.67285714285714,39.71,22.0083184789067,13.0629407129916,35.0712591918983,0,0
0,0,0,0,,,,0,
30,0,0,30,,,,0,
0,30,0,30,,,,0,
0,0,30,30,,,,0,
10,10,10,30,,,,0,
90,0,0,90,,,,1,
0,90,0,90,,,,1,
0,0,90,90,,,,1,
45,45,0,90,,,,1,
0,45,45,90,,,,1,
45,0,45,90,,,,1,
30,30,30,90,,,,1,
15,15,0,30,,,,0,
0,15,15,30,,,,0,
15,0,15,30,,,,0,
